the_geom,PlaceID,YearPlaceID,City,State,CityState,Year,AsOfDate,dockID,dockCt,stationCt_pct,stationCt_bin,dockNm,docklessCt,dockless_bin,docklessNm,scooterCt,scooter_bin,scooterNm,Type,Lat,Lon,Notes,fips,datedocklaunch,datedockclosed
POINT (-80.291111 25.819722),FL0058,2018FL0058,Miami Springs,FL,"Miami Springs, FL","2,018","201,812",,,,,-,0,,-,1,1,Lime,E-scooters only,25.819722,-80.291111,,12086,,
POINT (-80.295169 25.710278),FL0062,2016FL0062,South Miami,FL,"South Miami, FL","2,016","201,612",,,,,-,0,,-,0,,-,,25.710278,-80.295169,,12086,,
POINT (-79.3950228 36.5859718),VA00217,2018VA00217,Danville,VA,"Danville, VA","2,018","201,812",133,5,0.07,1,"City of Danville, VA",0,,-,0,,-,Docked only,36.585972,-79.395023,,51590,07/2017,Mar-20
POINT (-71.4547891 42.9956397),NH00147,2018NH00147,Manchester,NH,"Manchester, NH","2,018","201,812",104,8,0.12,1,Manchester,0,,-,0,,-,Docked only,42.99564,-71.454789,,33011,06/2017,Jun-20
POINT (-80.1917902 25.7616798),FL0055,2016FL0055,Miami,FL,"Miami, FL","2,016","201,612",5,151,3.12,3,Citi Bike Miami,0,,-,0,,-,Docked only,25.76168,-80.19179,,12086,03/2011,
POINT (-77.1527578 39.0839973),MD00120,2020MD00120,Montgomery Co.,MD,"Montgomery Co., MD","2,020","202,006",,,,,-,0,,-,0,,-,,39.083997,-77.152758,,24031,,
POINT (-76.6121893 39.2903848),MD00117,2016MD00117,Baltimore,MD,"Baltimore, MD","2,016","201,612",82,25,0.52,1,Baltimore Bikeshare,0,,-,0,,-,Docked only,39.290385,-76.612189,,24510,10/2016,Aug-18
POINT (-85.3096801 35.0456297),TN00189,2017TN00189,Chattanooga,TN,"Chattanooga, TN","2,017","201,712",54,36,0.59,1,Bike Chattanooga,0,,-,0,,-,Docked only,35.04563,-85.30968,,47065,07/2012,
POINT (-71.8022934 42.2625932),MA00115,2018MA00115,Worcester,MA,"Worcester, MA","2,018","201,812",,,,,-,0,,-,0,,-,,42.262593,-71.802293,,25027,,
POINT (-71.510789 42.761865),NH00238,2017NH00238,Nashua,NH,"Nashua, NH","2,017","201,712",,,,,-,0,,-,0,,-,,42.761865,-71.510789,,33011,,
POINT (-96.7969879 32.7766642),TX00196,2018TX00196,Dallas,TX,"Dallas, TX","2,018","201,812",,,,,-,1,1,Vbikes,3,3,"Bird, Lime, Razor",Dockless and e-scooters,32.776664,-96.796988,,48113,,
POINT (-93.0899578 44.9537029),MN00133,2019MN00133,St. Paul,MN,"St. Paul, MN","2,019","201,912",,,,,-,0,,-,1,1,Bird,E-scooters only,44.953703,-93.089958,,27123,,
POINT (-76.86104 39.20371),MD00124,201712_2017MD00124,Columbia,MD,"Columbia, MD","2,017","201,712",141,7,0.11,1,Howard County Bikeshare,0,,,0,,,Docked only,39.20371,-76.86104,,24027,07/2017,
POINT (-88.25102 40.11356),IL00245,2019IL00245,Champaign-Urbana,IL,"Champaign-Urbana, IL","2,019","201,912",,,,,-,1,1,Veoride,0,,-,Dockless only,40.11356,-88.25102,,17019,,
POINT (-97.39638100000002 27.8005828),TX00195,2019TX00195,Corpus Christi,TX,"Corpus Christi, TX","2,019","201,912",92,8,0.12,1,Corpus Christi,0,,-,3,3,"Blue Duck, Bird, Lime",Docked and e-scooters,27.800583,-97.396381,,48355,08/2017,Jun-20
POINT (-97.5164276 35.4675602),OK00173,2016OK00173,Oklahoma City,OK,"Oklahoma City, OK","2,016","201,612",40,8,0.17,1,Spokies,0,,-,0,,-,Docked only,35.46756,-97.516428,,40109,05/2012,Jun-20
POINT (-90.305278 38.744167),MO00135,2016MO00135,Ferguson,MO,"Ferguson, MO","2,016","201,612",,,,,-,0,,-,0,,-,,38.744167,-90.305278,,29189,,
POINT (-71.066667 42.458333),MA00105,2020MA00105,Melrose,MA,"Melrose, MA","2,020","202,006",,,,,-,0,,-,0,,-,,42.458333,-71.066667,,25017,,
POINT (-80.295169 25.710278),FL0062,2019FL0062,South Miami,FL,"South Miami, FL","2,019","201,912",,,,,-,0,,-,0,,-,,25.710278,-80.295169,,12086,,
POINT (-71.1061639 42.4184296),MA00104,2019MA00104,Medford,MA,"Medford, MA","2,019","201,912",,,,,-,0,,-,1,1,Lime,E-scooters only,42.41843,-71.106164,,25017,,
POINT (-78.6381787 35.7795897),NC00142,2017NC00142,Raleigh,NC,"Raleigh, NC","2,017","201,712",,,,,-,0,,-,0,,-,,35.77959,-78.638179,,37183,,
POINT (-71.31433 42.638358),MA00237,2020MA00237,Lowell,MA,"Lowell, MA","2,020","202,006",,,,,-,1,1,Veoride,0,,-,Dockless only,42.638358,-71.31433,,25017,,
POINT (-96.7969879 32.7766642),TX00196,2016TX00196,Dallas,TX,"Dallas, TX","2,016","201,612",9,2,0.04,1,Fairpark B-cycle,0,,-,0,,-,Docked only,32.776664,-96.796988,,48113,11/2014,2018
POINT (-122.204444 47.771667),WA00224,2018WA00224,Bothell,WA,"Bothell, WA","2,018","201,812",,,,,-,0,,-,0,,-,,47.771667,-122.204444,,53033,,
POINT (-95.99277500000001 36.1539816),OK00175,2019OK00175,Tulsa,OK,"Tulsa, OK","2,019","201,912",123,39,0.58,1,This Machine Tulsa; Tulsa Townies,0,,-,2,2,"Lime, Bird",Docked and e-scooters,36.153982,-95.992775,Station count is as of 07/2019 and includes both systems.,40143,07/2018,
POINT (-111.89916700000002 40.986667),UT00208,2017UT00208,Farmington,UT,"Farmington, UT","2,017","201,712",,,,,-,0,,-,0,,-,,40.986667,-111.899167,,49011,,
POINT (-122.87559490000001 42.3265152),OR00178,2019OR00178,Medford,OR,"Medford, OR","2,019","201,912",68,11,0.16,1,Zagstar Jackson County,0,,-,0,,-,Docked only,42.326515,-122.875595,,41029,07/2015,Jun-20
POINT (-81.6943605 41.49932),OH00165,2019OH00165,Cleveland,OH,"Cleveland, OH","2,019","201,912",,,,,,0,,-,4,4,"Bird, Lime, Spin, Veoride",E-scooters only,41.49932,-81.694361,,39035,,
POINT (-122.297778 37.886944),CA0011,2017CA0011,Albany,CA,"Albany, CA","2,017","201,712",,,,,-,0,,-,0,,-,,37.886944,-122.297778,,6001,,
POINT (-82.99879420000002 39.9611755),OH00166,2017OH00166,Columbus,OH,"Columbus, OH","2,017","201,712",58,46,0.75,1,COGO,0,,-,0,,-,Docked only,39.961176,-82.998794,,39049,07/2013,
POINT (-70.760556 43.075556000000006),NH00148,2019NH00148,Portsmouth,NH,"Portsmouth, NH","2,019","201,912",87,10,0.15,1,Portsmouth,0,,-,0,,-,Docked only,43.075556,-70.760556,,33015,05/2017,Jun-20
POINT (-98.4936282 29.4241219),TX00205,2016TX00205,San Antonio,TX,"San Antonio, TX","2,016","201,612",22,59,1.22,2,San Antonio B-cycle,0,,-,0,,-,Docked only,29.424122,-98.493628,,48029,03/2011,
POINT (-82.3940104 34.85261760000001),SC00185,2018SC00185,Greenville,SC,"Greenville, SC","2,018","201,812",44,9,0.13,1,Greenville B-cycle,0,,-,0,,-,Docked only,34.852618,-82.39401,,45045,03/2013,fall 2019
POINT (-71.0588801 42.3600825),MA0098,2019MA0098,Boston,MA,"Boston, MA","2,019","201,912",1,287,4.26,3,Hubway (03/2018 re-launched as Blue Bikes),0,,-,0,,-,Docked only,42.360082,-71.05888,,25025,07/2011,
POINT (-104.816082 38.835779),CO00232,2017CO00232,Colorado Springs,CO,"Colorado Springs, CO","2,017","201,712",,,,,-,0,,-,0,,-,,38.835779,-104.816082,,8041,,
POINT (-71.17916700000002 42.395833),MA0097,2018MA0097,Belmont,MA,"Belmont, MA","2,018","201,812",,,,,-,0,,-,1,1,Bird,E-scooters only,42.395833,-71.179167,,25017,,
POINT (-71.4128343 41.8239891),RI00183,2015RI00183,Providence,RI,"Providence, RI","2,015","201,512",,,,,-,0,,-,0,,-,,41.823989,-71.412834,,44007,,
POINT (-84.3879824 33.7489954),GA0066,2015GA0066,Atlanta,GA,"Atlanta, GA","2,015","201,512",,,,,-,0,,-,0,,-,,33.748995,-84.387982,,13121,,
