the_geom,PlaceID,YearPlaceID,City,State,CityState,Year,AsOfDate,dockID,dockCt,stationCt_pct,stationCt_bin,dockNm,docklessCt,dockless_bin,docklessNm,scooterCt,scooter_bin,scooterNm,Type,Lat,Lon,Notes,fips,datedocklaunch,datedockclosed
POINT (-86.1180435 39.978371),IN0082,2020IN0082,Carmel,IN,"Carmel, IN","2,020","202,006",,,,,,0,,-,0,,-,,39.978371,-86.118043,,18057,,
POINT (-76.9275 38.996667),MD00119,2017MD00119,College Park,MD,"College Park, MD","2,017","201,712",97,23,0.38,1,College Park,0,,-,0,,-,Docked only,38.996667,-76.9275,,24033,05/2016,Aug-19
POINT (-85.9213796 39.2014404),IN0083,2018IN0083,Columbus,IN,"Columbus, IN","2,018","201,812",86,8,0.12,1,columBike,0,,-,0,,-,Docked only,39.20144,-85.92138,,18005,05/2016,Nov-19
POINT (-71.066667 42.25),MA00106,2015MA00106,Milton,MA,"Milton, MA","2,015","201,512",,,,,-,0,,-,0,,-,,42.25,-71.066667,,25021,,
POINT (-71.0536625 42.40843),MA00101,2015MA00101,Everett,MA,"Everett, MA","2,015","201,512",,,,,-,0,,-,0,,-,,42.40843,-71.053663,,25017,,
POINT (-110.769167 43.475278),WY00231,2019WY00231,Jackson,WY,"Jackson, WY","2,019","201,912",115,17,0.25,1,START,0,,-,0,,-,Docked only,43.475278,-110.769167,,56039,04/2018,
POINT (-111.9260519 33.4941704),AZ007,2020AZ007,Scottsdale,AZ,"Scottsdale, AZ","2,020","202,006",,,,,-,1,1,Spin,0,,-,Dockless only,33.49417,-111.926052,,4013,,
POINT (-117.4260466 47.6587802),WA00226,2018WA00226,Spokane,WA,"Spokane, WA","2,018","201,812",,,,,-,0,,-,1,1,Lime,E-scooters only,47.65878,-117.426047,,53063,,
POINT (-89.5889864 40.6936488),IL0080,2019IL0080,Peoria,IL,"Peoria, IL","2,019","201,912",107,6,0.09,1,Peoria,0,,-,0,,-,Docked only,40.693649,-89.588986,,17143,05/2017,Jun-20
POINT (-75.1652215 39.9525839),PA00181,2019PA00181,Philadelphia,PA,"Philadelphia, PA","2,019","201,912",43,133,1.97,2,Inde'go,0,,-,0,,-,Docked only,39.952584,-75.165222,,42101,04/2015,
POINT (-121.9780153 37.7799273),CA0029,2017CA0029,San Ramon,CA,"San Ramon, CA","2,017","201,712",75,17,0.28,1,BriteBikes,0,,-,0,,-,Docked only,37.779927,-121.978015,,6013,12/2014,
POINT (-97.336111 37.688889),KS0091,2019KS0091,Wichita,KS,"Wichita, KS","2,019","201,912",89,42,0.62,1,Wichita,0,,-,2,2,"Spin, Veoride",Docked and e-scooters,37.688889,-97.336111,,20173,05/2017,Jun-20
POINT (-74.0323626 40.7439905),NJ00149,2019NJ00149,Hoboken,NJ,"Hoboken, NJ","2,019","201,912",2,67,0.99,1,Hudson Bike Share,0,,-,1,1,Lime,Docked and e-scooters,40.743991,-74.032363,,34017,10/2015,
POINT (-97.1330683 33.2148412),TX00197,2016TX00197,Denton,TX,"Denton, TX","2,016","201,612",,,,,-,0,,-,0,,-,,33.214841,-97.133068,,48121,,
POINT (-121.9780153 37.7799273),CA0029,2020CA0029,San Ramon,CA,"San Ramon, CA","2,020","202,006",75,22,0.33,1,BriteBikes,0,,-,0,,-,Docked only,37.779927,-121.978015,,6013,12/2014,
POINT (-97.1330683 33.2148412),TX00197,2015TX00197,Denton,TX,"Denton, TX","2,015","201,512",,,,,-,0,,-,0,,-,,33.214841,-97.133068,,48121,,
POINT (-122.3320708 47.6062095),WA00225,2019WA00225,Seattle,WA,"Seattle, WA","2,019","201,912",,,,,-,2,2,"Jump, LimeBikes",0,,-,Dockless only,47.606209,-122.332071,,53033,,
POINT (-78.898619 35.9940329),NC00140,2019NC00140,Durham,NC,"Durham, NC","2,019","201,912",,,,,-,1,1,Spin,4,4,"Bird, Lime, Spin, Gotcha",Dockless and e-scooters,35.994033,-78.898619,,37063,,
POINT (-71.0328284 42.3917638),MA00100,2018MA00100,Chelsea,MA,"Chelsea, MA","2,018","201,812",,,,,-,1,1,LimeBike,1,1,Lime,Dockless and e-scooters,42.391764,-71.032828,,25025,,
POINT (-90.1994042 38.6270025),MO00138,2015MO00138,St. Louis,MO,"St. Louis, MO","2,015","201,512",,,,,-,0,,-,0,,-,,38.627003,-90.199404,,29510,,
POINT (-80.13731740000001 26.1224386),FL0050,2019FL0050,Fort Lauderdale,FL,"Fort Lauderdale, FL","2,019","201,912",12,22,0.33,1,Broward B-cycle,0,,-,2,2,"Lime, Bird",Docked and e-scooters,26.122439,-80.137317,,12011,12/2011,
POINT (-121.98779799999998 37.557025),CA00236,2016CA00236,Fremont,CA,"Fremont, CA","2,016","201,612",,,,,-,0,,-,0,,-,,37.557025,-121.987798,,6001,,
POINT (-122.2416355 37.7652065),CA0010,2020CA0010,Alameda,CA,"Alameda, CA","2,020","202,006",,,,,-,0,,-,0,,-,,37.765206,-122.241636,,6001,,
POINT (-76.5 42.443333),NY00158,2016NY00158,Ithaca,NY,"Ithaca, NY","2,016","201,612",,,,,-,0,,-,0,,-,,42.443333,-76.5,,36109,,
POINT (-90.305278 38.744167),MO00135,2019MO00135,Ferguson,MO,"Ferguson, MO","2,019","201,912",,,,,-,0,,-,0,,-,,38.744167,-90.305278,,29189,,
POINT (-106.60555340000002 35.0853336),NM00153,2018NM00153,Albuquerque,NM,"Albuquerque, NM","2,018","201,812",,,,,-,0,,-,0,,-,,35.085334,-106.605553,,35001,,
POINT (-112.0740373 33.4483771),AZ006,2018AZ006,Phoenix,AZ,"Phoenix, AZ","2,018","201,812",37,112,1.62,2,Grid,0,,-,0,,-,Docked only,33.448377,-112.074037,,4013,11/2014,
POINT (-92.1735164 38.57670170000001),MO00136,2016MO00136,Jefferson City,MO,"Jefferson City, MO","2,016","201,612",,,,,-,0,,-,0,,-,,38.576702,-92.173516,,29051,,
POINT (-118.4911912 34.0194543),CA0033,2017CA0033,Santa Monica,CA,"Santa Monica, CA","2,017","201,712",39,92,1.51,2,Breeze,0,,-,1,1,Bird,Docked and e-scooters,34.019454,-118.491191,,6037,08/2015,
POINT (-76.609444 39.393056),MD00124,2020MD00124,Towson,MD,"Towson, MD","2,020","202,006",,,,,-,0,,-,0,,-,,39.393056,-76.609444,,24005,,
POINT (-111.651302 35.1982836),AZ004,2016AZ004,Flagstaff,AZ,"Flagstaff, AZ","2,016","201,612",,,,,-,0,,-,0,,-,,35.198284,-111.651302,,4005,,
POINT (-81.02507840000001 34.9248667),SC00186,2018SC00186,Rock Hill,SC,"Rock Hill, SC","2,018","201,812",127,5,0.07,1,Comporium,0,,-,0,,-,Docked only,34.924867,-81.025078,,45091,04/2018,
POINT (-83.55521200000001 41.6639383),OH00171,2019OH00171,Toledo,OH,"Toledo, OH","2,019","201,912",126,17,0.25,1,ToleGo,0,,-,1,1,Lime,Docked and e-scooters,41.663938,-83.555212,,39095,10/2018,
POINT (-117.09919670000001 32.6781085),CA0022,2017CA0022,National City,CA,"National City, CA","2,017","201,712",,,,,-,1,1,LimeBike,0,,-,Dockless only,32.678109,-117.099197,,6073,,
POINT (-71.121667 42.331667),MA0099,2020MA0099,Brookline,MA,"Brookline, MA","2,020","202,006",,,,,-,0,,-,0,,-,,42.331667,-71.121667,,25021,,
POINT (-106.837002 39.194951),CO0038,2018CO0038,Aspen,CO,"Aspen, CO","2,018","201,812",27,43,0.62,1,WE-cycle,0,,-,0,,-,Docked only,39.194951,-106.837002,,8097,06/2013,
POINT (-106.837002 39.194951),CO0038,2016CO0038,Aspen,CO,"Aspen, CO","2,016","201,612",27,43,0.89,1,WE-cycle,0,,-,0,,-,Docked only,39.194951,-106.837002,,8097,06/2013,
POINT (-71.31433 42.638358),MA00237,2015MA00237,Lowell,MA,"Lowell, MA","2,015","201,512",,,,,-,0,,-,0,,-,,42.638358,-71.31433,,25017,,
POINT (-103.2310149 44.08054340000001),SD00188,2018SD00188,Rapid City,SD,"Rapid City, SD","2,018","201,812",30,2,0.03,1,Rapid City B-cycle,0,,-,0,,-,Docked only,44.080543,-103.231015,,46103,07/2014,Nov-19
POINT (-86.5861037 34.7303688),AL002,2015AL002,Huntsville,AL,"Huntsville, AL","2,015","201,512",,,,,-,0,,-,0,,-,,34.730369,-86.586104,,1089,-,-
POINT (-122.27111370000002 37.8043637),CA0023,2019CA0023,Oakland,CA,"Oakland, CA","2,019","201,912",,,,,-,1,1,LimeBike,4,4,"Lime, Lyft, Bird, Clevr",Dockless and e-scooters,37.804364,-122.271114,,6001,,
POINT (-80.1867138 25.8900949),FL0060,2018FL0060,North Miami,FL,"North Miami, FL","2,018","201,812",,,,,-,1,1,LimeBike,0,,-,Dockless only,25.890095,-80.186714,,12086,,
POINT (-71.1061639 42.4184296),MA00104,2017MA00104,Medford,MA,"Medford, MA","2,017","201,712",,,,,-,0,,-,0,,-,,42.41843,-71.106164,,25017,,
POINT (-76.8867008 40.2731911),PA00180,2017PA00180,Harrisburg,PA,"Harrisburg, PA","2,017","201,712",122,11,0.18,1,Harrisburg,0,,-,0,,-,Docked only,40.273191,-76.886701,,42043,10/2017,Jun-20
POINT (-117.409153 33.955049),CA00241,2019CA00241,Riverside,CA,"Riverside, CA","2,019","201,912",,,,,-,1,1,Bikeriverside,0,,-,Dockless only,33.955049,-117.409153,,6065,,
POINT (-77.1527578 39.0839973),MD00120,2015MD00120,Montgomery Co.,MD,"Montgomery Co., MD","2,015","201,512",,,,,-,0,,-,0,,-,,39.083997,-77.152758,,24031,,
POINT (-118.0019482 34.1442616),CA0020,2020CA0020,Monrovia,CA,"Monrovia, CA","2,020","202,006",,,,,-,0,,-,0,,-,,34.144262,-118.001948,,6037,,
POINT (-71.510789 42.761865),NH00238,2016NH00238,Nashua,NH,"Nashua, NH","2,016","201,612",,,,,-,0,,-,0,,-,,42.761865,-71.510789,,33011,,
POINT (-84.74666700000002 39.5075),OH00169,2016OH00169,Oxford,OH,"Oxford, OH","2,016","201,612",,,,,-,0,,-,0,,-,,39.5075,-84.746667,,39017,,
POINT (-122.204444 47.771667),WA00224,2019WA00224,Bothell,WA,"Bothell, WA","2,019","201,912",,,,,-,0,,-,0,,-,,47.771667,-122.204444,,53033,,
POINT (-87.9064736 43.0389025),WI00229,2016WI00229,Milwaukee,WI,"Milwaukee, WI","2,016","201,612",50,58,1.2,2,Bublr Bikes,0,,-,0,,-,Docked only,43.038902,-87.906474,,55079,08/2014,
POINT (-117.409153 33.955049),CA00241,2018CA00241,Riverside,CA,"Riverside, CA","2,018","201,812",,,,,-,1,1,Bikeriverside,0,,-,Dockless only,33.955049,-117.409153,,6065,,
POINT (-116.2146068 43.6187102),ID0075,2015ID0075,Boise,ID,"Boise, ID","2,015","201,512",36,31,0.92,1,Boise Green Bike,0,,-,0,,-,Docked only,43.61871,-116.214607,,16001,04/2015,
POINT (-71.0328284 42.3917638),MA00100,2019MA00100,Chelsea,MA,"Chelsea, MA","2,019","201,912",,,,,-,0,,-,1,1,Lime,E-scooters only,42.391764,-71.032828,,25025,,
POINT (-80.1867138 25.8900949),FL0060,2017FL0060,North Miami,FL,"North Miami, FL","2,017","201,712",,,,,-,1,1,LimeBike,0,,-,Dockless only,25.890095,-80.186714,,12086,,
POINT (-95.243377 38.968396),KS00244,2020KS00244,Lawrence,KS,"Lawrence, KS","2,020","202,006",,,,,-,1,1,Veoride (limited to designated parking zones),0,,-,Dockless only,38.968396,-95.243377,,20045,,
POINT (-73.8987469 40.9312099),NY00163,2017NY00163,Yonkers,NY,"Yonkers, NY","2,017","201,712",,,,,-,0,,-,0,,-,,40.93121,-73.898747,,36119,,
POINT (-71.2092214 42.3370413),MA00108,2018MA00108,Newton,MA,"Newton, MA","2,018","201,812",,,,,-,1,1,LimeBike,1,1,Lime,Dockless and e-scooters,42.337041,-71.209221,,25017,,
POINT (-85.7584557 38.2526647),KY0093,2019KY0093,Louisville,KY,"Louisville, KY","2,019","201,912",102,37,0.55,1,Lou Velo,0,,-,4,4,"Bolt, Lime, Bird, Spin",Docked and e-scooters,38.252665,-85.758456,,21111,05/2017,
POINT (-84.1916069 39.7589478),OH00167,2019OH00167,Dayton,OH,"Dayton, OH","2,019","201,912",47,27,0.4,1,Link Dayton B-cycle,0,,-,0,,-,Docked only,39.758948,-84.191607,,39113,05/2015,
POINT (-78.8783689 42.8864468),NY00157,2015NY00157,Buffalo,NY,"Buffalo, NY","2,015","201,512",,,,,-,0,,-,0,,-,,42.886447,-78.878369,,36029,,
POINT (-85.7584557 38.2526647),KY0093,2017KY0093,Louisville,KY,"Louisville, KY","2,017","201,712",102,27,0.44,1,Lou Velo,0,,-,0,,-,Docked only,38.252665,-85.758456,,21111,05/2017,
POINT (-72.926595 41.30615),CT00240,2017CT00240,New Haven,CT,"New Haven, CT","2,017","201,712",,,,,-,0,,-,0,,-,,41.30615,-72.926595,,9009,,
POINT (-94.16706 36.090154),AR00235,2019AR00235,Fayetteville,AR,"Fayetteville, AR","2,019","201,912",,,,,-,1,1,Veoride,0,,-,Dockless only,36.090154,-94.16706,,5143,,
POINT (-84.5143761 33.8839926),GA0070,2015GA0070,Smyrna,GA,"Smyrna, GA","2,015","201,512",70,3,0.09,1,Smyrna Bike Share,0,,-,0,,-,Docked only,33.883993,-84.514376,,13067,09/2015,May-20
POINT (-80.3553302 25.8195424),FL0049,2016FL0049,Doral,FL,"Doral, FL","2,016","201,612",,,,,-,0,,-,0,,-,,25.819542,-80.35533,,12086,,
POINT (-81.3792365 28.5383355),FL0061,2020FL0061,Orlando,FL,"Orlando, FL","2,020","202,006",,,,,-,1,1,HOPR,1,1,Wheels,Dockless and e-scooters,28.538335,-81.379237,,12095,,
POINT (-95.3698028 29.760426700000004),TX00201,2020TX00201,Houston,TX,"Houston, TX","2,020","202,006",17,97,1.46,2,Houston B-cycle,0,,-,0,,-,Docked only,29.760427,-95.369803,,48201,05/2012,
POINT (-79.3950228 36.5859718),VA00217,2019VA00217,Danville,VA,"Danville, VA","2,019","201,912",133,5,0.07,1,"City of Danville, VA",0,,-,0,,-,Docked only,36.585972,-79.395023,,51590,07/2017,Mar-20
POINT (-85.1797142 42.3211522),MI00126,2020MI00126,Battle Creek,MI,"Battle Creek, MI","2,020","202,006",49,4,0.06,1,Battle Creek B-cycle,0,,-,0,,-,Docked only,42.321152,-85.179714,,26025,08/2013,
POINT (-82.4571776 27.950575),FL0064,2019FL0064,Tampa,FL,"Tampa, FL","2,019","201,912",33,99,1.47,2,Coast Bike Share,1,1,Jump,4,4,"Jump, Spin, Bird, Lime",All micro,27.950575,-82.457178,,12057,12/2014,
POINT (-71.066667 42.458333),MA00105,2016MA00105,Melrose,MA,"Melrose, MA","2,016","201,612",,,,,-,0,,-,0,,-,,42.458333,-71.066667,,25017,,
POINT (-96.63888330000002 32.912624),TX00200,2018TX00200,Garland,TX,"Garland, TX","2,018","201,812",,,,,-,1,1,Vbikes,0,,-,Dockless only,32.912624,-96.638883,,48113,,
POINT (-95.6890185 39.05582350000001),KS0090,2020KS0090,Topeka,KS,"Topeka, KS","2,020","202,006",,,,,,0,,-,0,,-,,39.055824,-95.689019,,20177,,
POINT (-78.6381787 35.7795897),NC00142,2020NC00142,Raleigh,NC,"Raleigh, NC","2,020","202,006",140,30,0.45,1,Citrix Bikeshare,0,,-,1,1,Gotcha,Docked and e-scooters,35.77959,-78.638179,,37183,06/2019,
POINT (-111.9400054 33.4255104),AZ008,2015AZ008,Tempe,AZ,"Tempe, AZ","2,015","201,512",,,,,-,0,,-,0,,-,,33.42551,-111.940005,,4013,,
POINT (-105.2705456 40.0149856),CO0040,2018CO0040,Boulder,CO,"Boulder, CO","2,018","201,812",11,44,0.64,1,Boulder B-cycle,0,,-,0,,-,Docked only,40.014986,-105.270546,,8013,05/2011,
POINT (-119.6981901 34.4208305),CA0030,2019CA0030,Santa Barbara,CA,"Santa Barbara, CA","2,019","201,912",,,,,-,0,,-,0,,-,,34.420831,-119.69819,,6083,,
POINT (-98.2300124 26.2034071),TX00203,2016TX00203,McAllen,TX,"McAllen, TX","2,016","201,612",28,8,0.17,1,McAllen B-cycle,0,,-,0,,-,Docked only,26.203407,-98.230012,,48215,10/2015,
POINT (-73.8987469 40.9312099),NY00163,2015NY00163,Yonkers,NY,"Yonkers, NY","2,015","201,512",,,,,-,0,,-,0,,-,,40.93121,-73.898747,,36119,,
POINT (-86.5861037 34.7303688),AL002,2016AL002,Huntsville,AL,"Huntsville, AL","2,016","201,612",,,,,-,0,,-,0,,-,,34.730369,-86.586104,,1089,,
POINT (-97.4394777 35.2225668),OK00172,2020OK00172,Norman,OK,"Norman, OK","2,020","202,006",,,,,-,0,,-,0,,-,,35.222567,-97.439478,,40027,,
POINT (-79.3950228 36.5859718),VA00217,2016VA00217,Danville,VA,"Danville, VA","2,016","201,612",,,,,-,0,,-,0,,-,,36.585972,-79.395023,,51590,,
POINT (-71.066667 42.458333),MA00105,2019MA00105,Melrose,MA,"Melrose, MA","2,019","201,912",,,,,-,0,,-,1,1,Lime,E-scooters only,42.458333,-71.066667,,25017,,
POINT (-77.0368707 38.9071923),DC0046,2018DC0046,Washington,DC,"Washington, DC","2,018","201,812",56,559,8.09,4,Capital Bikeshare,2,2,"Jump, LimeBike",4,4,"Bird, Lime, Lyft, Spin",All micro,38.907192,-77.036871,,11001,09/2010,
POINT (-74.0323626 40.7439905),NJ00149,2016NJ00149,Hoboken,NJ,"Hoboken, NJ","2,016","201,612",2,31,0.64,1,Hudson Bike Share,0,,-,0,,-,Docked only,40.743991,-74.032363,,34017,10/2015,
POINT (-118.3951 37.3635),CA0013,2017CA0013,Bishop,CA,"Bishop, CA","2,017","201,712",99,2,0.03,1,Eastside,0,,-,0,,-,Docked only,37.3635,-118.3951,,6027,04/2017,2018
POINT (-77.020791 39.002441),MD00122,2017MD00122,Silver Spring,MD,"Silver Spring, MD","2,017","201,712",,,,,-,3,3,"LimeBike, Ofo, Spin",0,,-,Dockless only,39.002441,-77.020791,,24031,,
POINT (-88.32007150000001 41.7605849),IL0077,2017IL0077,Aurora,IL,"Aurora, IL","2,017","201,712",95,3,0.05,1,Aurora,0,,-,0,,-,Docked only,41.760585,-88.320071,,17089,06/2016,Mar-20
POINT (-122.0307963 36.9741171),CA0032,2016CA0032,Santa Cruz,CA,"Santa Cruz, CA","2,016","201,612",,,,,-,0,,-,0,,-,,36.974117,-122.030796,,6087,,
POINT (-81.783611 24.559722),FL0053,2017FL0053,Key West,FL,"Key West, FL","2,017","201,712",61,3,0.05,1,Instabike,0,,-,0,,-,Docked only,24.559722,-81.783611,,12087,12/2015,2018
POINT (-97.61142370000002 38.8402805),KS0089,2020KS0089,Salina,KS,"Salina, KS","2,020","202,006",,,,,,0,,-,0,,-,,38.84028,-97.611424,,20169,,
POINT (-75.1652215 39.9525839),PA00181,2015PA00181,Philadelphia,PA,"Philadelphia, PA","2,015","201,512",43,71,2.11,2,Inde'go,0,,-,0,,-,Docked only,39.952584,-75.165222,,42101,04/2015,
POINT (-111.9738304 41.223),UT00209,2017UT00209,Ogden,UT,"Ogden, UT","2,017","201,712",,,,,-,0,,-,0,,-,,41.223,-111.97383,,49057,,
POINT (-86.7816016 36.1626638),TN00192,2020TN00192,Nashville,TN,"Nashville, TN","2,020","202,006",21,35,0.53,1,Nashville B-cycle,1,1,Jump,1,1,Lime,All micro,36.162664,-86.781602,Dock count is as of 07/2019.,47037,12/2012,
POINT (-80.188333 25.865239000000003),FL0057,2020FL0057,Miami Shores,FL,"Miami Shores, FL","2,020","202,006",,,,,-,0,,-,0,,-,,25.865239,-80.188333,,12086,,
POINT (-83.7430378 42.2808256),MI00125,2018MI00125,Ann Arbor,MI,"Ann Arbor, MI","2,018","201,812",4,13,0.19,1,arborbike,0,,-,0,,-,Docked only,42.280826,-83.743038,,26161,09/2014,2020
POINT (-118.542586 34.3916641),CA0031,2019CA0031,Santa Clarita,CA,"Santa Clarita, CA","2,019","201,912",,,,,-,1,1,Pace,0,,-,Dockless only,34.391664,-118.542586,,6037,,
POINT (-118.3951 37.3635),CA0013,2015CA0013,Bishop,CA,"Bishop, CA","2,015","201,512",,,,,-,0,,-,0,,-,,37.3635,-118.3951,,6027,,
POINT (-84.74666700000002 39.5075),OH00169,2020OH00169,Oxford,OH,"Oxford, OH","2,020","202,006",,,,,-,0,,-,0,,-,,39.5075,-84.746667,,39017,,
POINT (-79.9958864 40.4406248),PA00182,2019PA00182,Pittsburgh,PA,"Pittsburgh, PA","2,019","201,912",29,110,1.63,2,Healthy Ride,0,,-,0,,-,Docked only,40.440625,-79.995886,,42003,05/2001,
POINT (-73.212072 44.4758825),VT00223,2016VT00223,Burlington,VT,"Burlington, VT","2,016","201,612",,,,,-,0,,-,0,,-,,44.475882,-73.212072,,50007,,
POINT (-75.977985 36.8529263),VA00222,2016VA00222,Virginia Beach,VA,"Virginia Beach, VA","2,016","201,612",,,,,-,0,,-,0,,-,,36.852926,-75.977985,,51810,,
POINT (-85.9213796 39.2014404),IN0083,2015IN0083,Columbus,IN,"Columbus, IN","2,015","201,512",,,,,-,0,,-,0,,-,,39.20144,-85.92138,,18005,,
POINT (-77.002222 38.98),MD00123,2020MD00123,Takoma Park,MD,"Takoma Park, MD","2,020","202,006",,,,,-,0,,-,2,2,"Lime, Lyft",E-scooters only,38.98,-77.002222,,24031,,
POINT (-92.085256 46.706881),WI00230,2019WI00230,Superior,WI,"Superior, WI","2,019","201,912",131,4,0.06,1,Superior,0,,-,0,,-,Docked only,46.706881,-92.085256,,55031,09/2018,Jun-20
POINT (-122.0838511 37.3860517),CA0021,2017CA0021,Mountain View,CA,"Mountain View, CA","2,017","201,712",,,,,-,0,,-,0,,-,,37.386052,-122.083851,,6085,,
POINT (-71.156944 42.415278),MA0095,2017MA0095,Arlington,MA,"Arlington, MA","2,017","201,712",,,,,-,0,,-,0,,-,,42.415278,-71.156944,,25017,,
POINT (-95.503889 30.1775),TX00206,2015TX00206,The Woodlands,TX,"The Woodlands, TX","2,015","201,512",,,,,-,0,,-,0,,-,,30.1775,-95.503889,,48339,,
POINT (-104.8925 39.548889),CO0044,2017CO0044,Lone Tree,CO,"Lone Tree, CO","2,017","201,712",,,,,-,1,1,Ofo,0,,-,Dockless only,39.548889,-104.8925,,8035,,
POINT (-82.534497 27.335665),FL00252,2020FL00252,Sarasota,FL,"Sarasota, FL","2,020","202,006",,,,,-,1,1,Veoride,0,,-,Dockless only,27.335665,-82.534497,,12115,,
POINT (-85.9766671 41.6819935),IN0084,2018IN0084,Elkhart,IN,"Elkhart, IN","2,018","201,812",,,,,-,0,,-,1,1,Lime,E-scooters only,41.681993,-85.976667,,18039,,
POINT (-118.370969 34.087981),CA0037,2017CA0037,West Hollywood,CA,"West Hollywood, CA","2,017","201,712",80,23,0.38,1,WeHo Pedals,0,,-,0,,-,Docked only,34.087981,-118.370969,,6037,08/2016,Aug-19
POINT (-76.4921829 38.9784453),MD00116,2019MD00116,Annapolis,MD,"Annapolis, MD","2,019","201,912",,,,,-,1,1,Pace,0,,-,Dockless only,38.978445,-76.492183,,24003,,
POINT (-92.85 44.733333),MN00131,2016MN00131,Hastings,MN,"Hastings, MN","2,016","201,612",66,1,0.02,1,Zagstar Hastings,0,,-,0,,-,Docked only,44.733333,-92.85,,27037,07/2015,2018
POINT (-77.1527578 39.0839973),MD00120,2019MD00120,Montgomery Co.,MD,"Montgomery Co., MD","2,019","201,912",,,,,-,0,,-,2,2,"Bird, Lime",E-scooters only,39.083997,-77.152758,,24031,,
POINT (-118.3964665 34.0211224),CA0015,2018CA0015,Culver City,CA,"Culver City, CA","2,018","201,812",,,,,-,0,,-,2,2,"Bird, Lime",E-scooters only,34.021122,-118.396467,,6037,,
POINT (-123.0867536 44.0520691),OR00177,2020OR00177,Eugene,OR,"Eugene, OR","2,020","202,006",112,43,0.65,1,"Eugene (JUMP, operator of Eugene bikeshare, acquired by LIME 06/2020)",0,,-,0,,-,Docked only,44.052069,-123.086754,,41039,04/2018,
POINT (-81.9498042 28.0394654),FL0054,2019FL0054,Lakeland,FL,"Lakeland, FL","2,019","201,912",,,,,-,0,,-,0,,-,,28.039465,-81.949804,,12105,,
POINT (-78.8783689 42.8864468),NY00157,2017NY00157,Buffalo,NY,"Buffalo, NY","2,017","201,712",76,54,0.89,1,Reddy Bikes,0,,-,0,,-,Docked only,42.886447,-78.878369,,36029,07/2016,
POINT (-71.4547891 42.9956397),NH00147,2020NH00147,Manchester,NH,"Manchester, NH","2,020","202,006",,,,,,0,,-,0,,-,,42.99564,-71.454789,,33011,,
POINT (-84.28073290000002 30.438255900000005),FL0063,2018FL0063,Tallahassee,FL,"Tallahassee, FL","2,018","201,812",,,,,-,1,1,Pace,0,,-,Dockless only,30.438256,-84.280733,,12073,,
POINT (-95.99798830000002 41.2523634),NE00146,2018NE00146,Omaha,NE,"Omaha, NE","2,018","201,812",16,69,1,1,Heartland B-cycle,0,,-,0,,-,Docked only,41.252363,-95.997988,,31055,06/2011,
POINT (-79.9414266 37.2709704),VA00221,2018VA00221,Roanoke,VA,"Roanoke, VA","2,018","201,812",106,17,0.25,1,Roanoke,0,,-,0,,-,Docked only,37.27097,-79.941427,,51770,05/2017,Jun-20
POINT (-118.3964665 34.0211224),CA0015,2020CA0015,Culver City,CA,"Culver City, CA","2,020","202,006",,,,,-,0,,-,0,,-,,34.021122,-118.396467,,6037,,
POINT (-71.4547891 42.9956397),NH00147,2016NH00147,Manchester,NH,"Manchester, NH","2,016","201,612",,,,,-,0,,-,0,,-,,42.99564,-71.454789,,33011,,
POINT (-118.542586 34.3916641),CA0031,2017CA0031,Santa Clarita,CA,"Santa Clarita, CA","2,017","201,712",,,,,-,0,,-,0,,-,,34.391664,-118.542586,,6037,,
POINT (-85.076667 33.580833),GA0067,2019GA0067,Carrollton,GA,"Carrollton, GA","2,019","201,912",91,11,0.16,1,Carrollton,0,,-,0,,-,Docked only,33.580833,-85.076667,,13045,02/2017,Jun-20
POINT (-78.8689155 38.4495688),VA00218,2015VA00218,Harrisonburg,VA,"Harrisonburg, VA","2,015","201,512",,,,,-,0,,-,0,,-,,38.449569,-78.868915,,51660,,
POINT (-77.0469214 38.8048355),VA00213,2019VA00213,Alexandria,VA,"Alexandria, VA","2,019","201,912",,,,,-,0,,-,5,4,"Lime, Bird, Razor, Spin, Helbiz",E-scooters only,38.804836,-77.046921,,51510,,
POINT (-118.24368490000002 34.0522342),CA0019,2018CA0019,Los Angeles,CA,"Los Angeles, CA","2,018","201,812",73,127,1.84,2,Metro Bike Share Los Angeles,1,1,LimeBike,4,4,"Bird, Jump, Lime, Razor",All micro,34.052234,-118.243685,,6037,07/2016,
POINT (-106.4424559 31.777575700000003),TX00198,2020TX00198,El Paso,TX,"El Paso, TX","2,020","202,006",8,17,0.26,1,El Paso B-cycle,0,,-,0,,-,Docked only,31.777576,-106.442456,,48141,09/2015,
POINT (-79.93105120000001 32.7764749),SC00184,2017SC00184,Charleston,SC,"Charleston, SC","2,017","201,712",84,30,0.49,1,Holy Spokes,0,,-,0,,-,Docked only,32.776475,-79.931051,,45019,05/2017,
POINT (-105.084423 40.5852602),CO0043,2018CO0043,Fort Collins,CO,"Fort Collins, CO","2,018","201,812",,,,,-,0,,-,0,,-,,40.58526,-105.084423,,8069,,
POINT (-80.13731740000001 26.1224386),FL0050,2015FL0050,Fort Lauderdale,FL,"Fort Lauderdale, FL","2,015","201,512",12,20,0.59,1,Broward B-cycle,0,,-,0,,-,Docked only,26.122439,-80.137317,,12011,12/2011,
POINT (-93.3499489 44.8896866),MN00130,2020MN00130,Edina,MN,"Edina, MN","2,020","202,006",,,,,-,0,,-,0,,-,,44.889687,-93.349949,,27053,,
